file_name,disease_type
Normal-1,normal
Normal-2,normal
Normal-3,normal
Normal-4,normal
Normal-5,normal
Normal-6,normal
Normal-7,normal
Normal-8,normal
Normal-9,normal
Normal-10,normal
Normal-11,normal
Normal-12,normal
Normal-13,normal
Normal-14,normal
Normal-15,normal
Normal-16,normal
Normal-17,normal
Normal-18,normal
Normal-19,normal
Normal-20,normal
Normal-21,normal
Normal-22,normal
Normal-23,normal
Normal-24,normal
Normal-25,normal
Normal-26,normal
Normal-27,normal
Normal-28,normal
Normal-29,normal
Normal-30,normal
Normal-31,normal
Normal-32,normal
Normal-33,normal
Normal-34,normal
Normal-35,normal
Normal-36,normal
Normal-37,normal
Normal-38,normal
Normal-39,normal
Normal-40,normal
Normal-41,normal
Normal-42,normal
Normal-43,normal
Normal-44,normal
Normal-45,normal
Normal-46,normal
Normal-47,normal
Normal-48,normal
Normal-49,normal
Normal-50,normal
Normal-51,normal
Normal-52,normal
Normal-53,normal
Normal-54,normal
Normal-55,normal
Normal-56,normal
Normal-57,normal
Normal-58,normal
Normal-59,normal
Normal-60,normal
Normal-61,normal
Normal-62,normal
Normal-63,normal
Normal-64,normal
Normal-65,normal
Normal-66,normal
Normal-67,normal
Normal-68,normal
Normal-69,normal
Normal-70,normal
Normal-71,normal
Normal-72,normal
Normal-73,normal
Normal-74,normal
Normal-75,normal
Normal-76,normal
Normal-77,normal
Normal-78,normal
Normal-79,normal
Normal-80,normal
Normal-81,normal
Normal-82,normal
Normal-83,normal
Normal-84,normal
Normal-85,normal
Normal-86,normal
Normal-87,normal
Normal-88,normal
Normal-89,normal
Normal-90,normal
Normal-91,normal
Normal-92,normal
Normal-93,normal
Normal-94,normal
Normal-95,normal
Normal-96,normal
Normal-97,normal
Normal-98,normal
Normal-99,normal
Normal-100,normal
Normal-101,normal
Normal-102,normal
Normal-103,normal
Normal-104,normal
Normal-105,normal
Normal-106,normal
Normal-107,normal
Normal-108,normal
Normal-109,normal
Normal-110,normal
Normal-111,normal
Normal-112,normal
Normal-113,normal
Normal-114,normal
Normal-115,normal
Normal-116,normal
Normal-117,normal
Normal-118,normal
Normal-119,normal
Normal-120,normal
Normal-121,normal
Normal-122,normal
Normal-123,normal
Normal-124,normal
Normal-125,normal
Normal-126,normal
Normal-127,normal
Normal-128,normal
Normal-129,normal
Normal-130,normal
Normal-131,normal
Normal-132,normal
Normal-133,normal
Normal-134,normal
Normal-135,normal
Normal-136,normal
Normal-137,normal
Normal-138,normal
Normal-139,normal
Normal-140,normal
Normal-141,normal
Normal-142,normal
Normal-143,normal
Normal-144,normal
Normal-145,normal
Normal-146,normal
Normal-147,normal
Normal-148,normal
Normal-149,normal
Normal-150,normal
Normal-151,normal
Normal-152,normal
Normal-153,normal
Normal-154,normal
Normal-155,normal
Normal-156,normal
Normal-157,normal
Normal-158,normal
Normal-159,normal
Normal-160,normal
Normal-161,normal
Normal-162,normal
Normal-163,normal
Normal-164,normal
Normal-165,normal
Normal-166,normal
Normal-167,normal
Normal-168,normal
Normal-169,normal
Normal-170,normal
Normal-171,normal
Normal-172,normal
Normal-173,normal
Normal-174,normal
Normal-175,normal
Normal-176,normal
Normal-177,normal
Normal-178,normal
Normal-179,normal
Normal-180,normal
Normal-181,normal
Normal-182,normal
Normal-183,normal
Normal-184,normal
Normal-185,normal
Normal-186,normal
Normal-187,normal
Normal-188,normal
Normal-189,normal
Normal-190,normal
Normal-191,normal
Normal-192,normal
Normal-193,normal
Normal-194,normal
Normal-195,normal
Normal-196,normal
Normal-197,normal
Normal-198,normal
Normal-199,normal
Normal-200,normal
Normal-201,normal
Normal-202,normal
Normal-203,normal
Normal-204,normal
Normal-205,normal
Normal-206,normal
Normal-207,normal
Normal-208,normal
Normal-209,normal
Normal-210,normal
Normal-211,normal
Normal-212,normal
Normal-213,normal
Normal-214,normal
Normal-215,normal
Normal-216,normal
Normal-217,normal
Normal-218,normal
Normal-219,normal
Normal-220,normal
Normal-221,normal
Normal-222,normal
Normal-223,normal
Normal-224,normal
Normal-225,normal
Normal-226,normal
Normal-227,normal
Normal-228,normal
Normal-229,normal
Normal-230,normal
Normal-231,normal
Normal-232,normal
Normal-233,normal
Normal-234,normal
Normal-235,normal
Normal-236,normal
Normal-237,normal
Normal-238,normal
Normal-239,normal
Normal-240,normal
Normal-241,normal
Normal-242,normal
Normal-243,normal
Normal-244,normal
Normal-245,normal
Normal-246,normal
Normal-247,normal
Normal-248,normal
Normal-249,normal
Normal-250,normal
Normal-251,normal
Normal-252,normal
Normal-253,normal
Normal-254,normal
Normal-255,normal
Normal-256,normal
Normal-257,normal
Normal-258,normal
Normal-259,normal
Normal-260,normal
Normal-261,normal
Normal-262,normal
Normal-263,normal
Normal-264,normal
Normal-265,normal
Normal-266,normal
Normal-267,normal
Normal-268,normal
Normal-269,normal
Normal-270,normal
Normal-271,normal
Normal-272,normal
Normal-273,normal
Normal-274,normal
Normal-275,normal
Normal-276,normal
Normal-277,normal
Normal-278,normal
Normal-279,normal
Normal-280,normal
Normal-281,normal
Normal-282,normal
Normal-283,normal
Normal-284,normal
Normal-285,normal
Normal-286,normal
Normal-287,normal
Normal-288,normal
Normal-289,normal
Normal-290,normal
Normal-291,normal
Normal-292,normal
Normal-293,normal
Normal-294,normal
Normal-295,normal
Normal-296,normal
Normal-297,normal
Normal-298,normal
Normal-299,normal
Normal-300,normal
Normal-301,normal
Normal-302,normal
Normal-303,normal
Normal-304,normal
Normal-305,normal
Normal-306,normal
Normal-307,normal
Normal-308,normal
Normal-309,normal
Normal-310,normal
Normal-311,normal
Normal-312,normal
Normal-313,normal
Normal-314,normal
Normal-315,normal
Normal-316,normal
Normal-317,normal
Normal-318,normal
Normal-319,normal
Normal-320,normal
Normal-321,normal
Normal-322,normal
Normal-323,normal
Normal-324,normal
Normal-325,normal
Normal-326,normal
Normal-327,normal
Normal-328,normal
Normal-329,normal
Normal-330,normal
Normal-331,normal
Normal-332,normal
Normal-333,normal
Normal-334,normal
Normal-335,normal
Normal-336,normal
Normal-337,normal
Normal-338,normal
Normal-339,normal
Normal-340,normal
Normal-341,normal
Normal-342,normal
Normal-343,normal
Normal-344,normal
Normal-345,normal
Normal-346,normal
Normal-347,normal
Normal-348,normal
Normal-349,normal
Normal-350,normal
Normal-351,normal
Normal-352,normal
Normal-353,normal
Normal-354,normal
Normal-355,normal
Normal-356,normal
Normal-357,normal
Normal-358,normal
Normal-359,normal
Normal-360,normal
Normal-361,normal
Normal-362,normal
Normal-363,normal
Normal-364,normal
Normal-365,normal
Normal-366,normal
Normal-367,normal
Normal-368,normal
Normal-369,normal
Normal-370,normal
Normal-371,normal
Normal-372,normal
Normal-373,normal
Normal-374,normal
Normal-375,normal
Normal-376,normal
Normal-377,normal
Normal-378,normal
Normal-379,normal
Normal-380,normal
Normal-381,normal
Normal-382,normal
Normal-383,normal
Normal-384,normal
Normal-385,normal
Normal-386,normal
Normal-387,normal
Normal-388,normal
Normal-389,normal
Normal-390,normal
Normal-391,normal
Normal-392,normal
Normal-393,normal
Normal-394,normal
Normal-395,normal
Normal-396,normal
Normal-397,normal
Normal-398,normal
Normal-399,normal
Normal-400,normal
Normal-401,normal
Normal-402,normal
Normal-403,normal
Normal-404,normal
Normal-405,normal
Normal-406,normal
Normal-407,normal
Normal-408,normal
Normal-409,normal
Normal-410,normal
Normal-411,normal
Normal-412,normal
Normal-413,normal
Normal-414,normal
Normal-415,normal
Normal-416,normal
Normal-417,normal
Normal-418,normal
Normal-419,normal
Normal-420,normal
Normal-421,normal
Normal-422,normal
Normal-423,normal
Normal-424,normal
Normal-425,normal
Normal-426,normal
Normal-427,normal
Normal-428,normal
Normal-429,normal
Normal-430,normal
Normal-431,normal
Normal-432,normal
Normal-433,normal
Normal-434,normal
Normal-435,normal
Normal-436,normal
Normal-437,normal
Normal-438,normal
Normal-439,normal
Normal-440,normal
Normal-441,normal
Normal-442,normal
Normal-443,normal
Normal-444,normal
Normal-445,normal
Normal-446,normal
Normal-447,normal
Normal-448,normal
Normal-449,normal
Normal-450,normal
Normal-451,normal
Normal-452,normal
Normal-453,normal
Normal-454,normal
Normal-455,normal
Normal-456,normal
Normal-457,normal
Normal-458,normal
Normal-459,normal
Normal-460,normal
Normal-461,normal
Normal-462,normal
Normal-463,normal
Normal-464,normal
Normal-465,normal
Normal-466,normal
Normal-467,normal
Normal-468,normal
Normal-469,normal
Normal-470,normal
Normal-471,normal
Normal-472,normal
Normal-473,normal
Normal-474,normal
Normal-475,normal
Normal-476,normal
Normal-477,normal
Normal-478,normal
Normal-479,normal
Normal-480,normal
Normal-481,normal
Normal-482,normal
Normal-483,normal
Normal-484,normal
Normal-485,normal
Normal-486,normal
Normal-487,normal
Normal-488,normal
Normal-489,normal
Normal-490,normal
Normal-491,normal
Normal-492,normal
Normal-493,normal
Normal-494,normal
Normal-495,normal
Normal-496,normal
Normal-497,normal
Normal-498,normal
Normal-499,normal
Normal-500,normal
Normal-501,normal
Normal-502,normal
Normal-503,normal
Normal-504,normal
Normal-505,normal
Normal-506,normal
Normal-507,normal
Normal-508,normal
Normal-509,normal
Normal-510,normal
Normal-511,normal
Normal-512,normal
Normal-513,normal
Normal-514,normal
Normal-515,normal
Normal-516,normal
Normal-517,normal
Normal-518,normal
Normal-519,normal
Normal-520,normal
Normal-521,normal
Normal-522,normal
Normal-523,normal
Normal-524,normal
Normal-525,normal
Normal-526,normal
Normal-527,normal
Normal-528,normal
Normal-529,normal
